session_turn_index,metric,group_dimension,group_value,unit,count,mean,stddev_population,min,p10,p25,p50,p75,p90,p95,p99,max,sum
37,isl_tokens,session_turn_index,37,tokens,1927,1018.1759211209134,2275.5596944193703,6.0,32.0,63.0,211.0,898.5,2575.400000000001,4816.299999999998,12166.640000000005,27867.0,1962025.0
37,osl_tokens,session_turn_index,37,tokens,1927,632.2200311364816,1304.5586302956958,1.0,45.0,105.0,231.0,643.5,1518.6000000000004,2526.2999999999965,5509.32,32000.0,1218288.0
37,context_length_tokens,session_turn_index,37,tokens,1927,106859.97768552153,44650.03707530572,17187.0,59132.8,76150.0,98169.0,128489.5,164014.8,188474.89999999982,244897.94,406872.0,205919177.0
38,isl_tokens,session_turn_index,38,tokens,1888,979.4735169491526,2784.5371983969394,5.0,33.0,64.0,217.5,840.25,2285.2999999999993,4303.749999999998,11152.979999999936,81355.0,1849246.0
38,osl_tokens,session_turn_index,38,tokens,1888,641.3659957627119,1165.7068334969597,1.0,45.0,102.0,251.5,693.5,1517.9999999999995,2465.95,5666.359999999956,12597.0,1210899.0
38,context_length_tokens,session_turn_index,38,tokens,1888,108697.89088983051,45161.44295702422,17285.0,60245.200000000004,77561.75,99973.5,130763.5,166248.1,190532.3,248296.18999999992,408393.0,205221618.0
39,isl_tokens,session_turn_index,39,tokens,1849,881.281773931855,1906.9593493528519,5.0,29.0,62.0,197.0,808.0,2321.8,3955.1999999999994,9714.599999999997,28212.0,1629490.0
39,osl_tokens,session_turn_index,39,tokens,1849,626.7420227149811,1429.7444665250962,1.0,45.0,109.0,238.0,625.0,1526.4000000000003,2330.199999999998,5314.719999999999,38114.0,1158846.0
39,context_length_tokens,session_turn_index,39,tokens,1849,110071.06489994592,45309.370099500695,17567.0,61230.2,78997.0,101462.0,132189.0,168118.40000000002,194122.59999999983,249392.63999999998,408827.0,203521399.0
40,isl_tokens,session_turn_index,40,tokens,1816,971.6844713656387,2212.8159572055933,6.0,30.0,59.0,214.5,880.25,2511.5,4637.0,10453.14999999998,40157.0,1764579.0
40,osl_tokens,session_turn_index,40,tokens,1816,606.8535242290749,1083.1754317698415,1.0,45.0,104.0,254.0,628.0,1458.5,2424.0,5805.499999999994,11808.0,1102046.0
40,context_length_tokens,session_turn_index,40,tokens,1816,111600.46585903084,45042.137995209014,17671.0,62094.5,80232.75,103320.0,134168.0,170151.0,195589.25,252605.2999999999,410148.0,202666446.0
41,isl_tokens,session_turn_index,41,tokens,1784,976.8217488789238,2168.505635270435,6.0,29.0,59.0,223.0,893.25,2346.200000000001,4719.449999999997,11444.820000000003,28375.0,1742650.0
41,osl_tokens,session_turn_index,41,tokens,1784,659.6748878923767,1335.1270730731176,1.0,45.0,100.0,260.0,657.25,1547.2000000000003,2758.4499999999985,5298.990000000003,27290.0,1176860.0
41,context_length_tokens,session_turn_index,41,tokens,1784,113409.41143497758,45669.79533336539,18107.0,62945.1,81563.5,105167.5,136449.0,172195.1,198725.05,254879.33000000005,411474.0,202322390.0
42,isl_tokens,session_turn_index,42,tokens,1746,921.8717067583046,1985.7181912277201,4.0,28.0,58.0,190.5,829.75,2407.5,4413.75,10302.199999999995,19491.0,1609588.0
42,osl_tokens,session_turn_index,42,tokens,1746,603.0229095074455,1003.5149517334501,1.0,45.0,103.0,259.0,655.0,1435.5,2449.75,5225.849999999995,10563.0,1052878.0
42,context_length_tokens,session_turn_index,42,tokens,1746,114981.24169530356,46132.21890941625,18213.0,63783.5,83228.75,106802.0,137841.5,174735.0,201232.0,262989.5499999999,413109.0,200757248.0
43,isl_tokens,session_turn_index,43,tokens,1712,894.8533878504672,2024.491401487412,1.0,28.0,57.0,175.0,779.25,2357.6000000000013,4173.349999999996,10408.499999999982,25040.0,1531989.0
43,osl_tokens,session_turn_index,43,tokens,1712,606.5414719626168,1193.3122434759516,1.0,45.0,97.0,251.0,644.75,1436.4000000000005,2316.649999999997,4987.459999999998,28919.0,1038399.0
